Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
Fitmania S.C. Lidia Dąbrowska-Olenkowicz," Strong For Life Sp. z o.o.,Dywersyfikacja działalności firmy Fitmania S.C. Lidia Dąbrowska-Olenkowicz, Strong For Life Sp. z o.o. realizowana w regionie warmińsko-mazurskim",WARMIŃSKO-MAZURSKIE,Olsztyn,Kołobrzeska,42,10-434,536057
BFC TRAVEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie profilu działalności przedsiębiorstwa BFC Travel sp. z o.o o nowe rynki i nowe usługi - Region 2, województwo mazowieckie",MAZOWIECKIE,Warszawa,Drawska,22,02-202,419939.99
SOSNOWE ZACISZE S.C. NINA ARTEMOWICZ," ADAM ARTEMOWICZ,Wprowadzenie do oferty nowego produktu w postaci zakwaterowania i dedykowanego wyżywienia w trakcie trwania turnusów szkoleniowo-rehabilitacyjnych w celu poprawy konkurencyjności, dywersyfikacji działalności i uodpornienia na zjawiska kryzysowe przedsiębiorstwa Sosnowe Zacisze s. c., działającego na terenie województwa podlaskiego.",PODLASKIE,Ignatki-Osiedle,Leśna,20,16-001,538695
"PRZEDSIĘBIORSTWO TURYSTYCZNO-USŁUGOWE ""MAZUR-POL"" S.C. WANDA KWIATKOWSKA I ANDRZEJ KWIATKOWSKI","Wprowadzenie nowej usługi wynajmu domków turystycznych, dywersyfikacją przychodów w działalności firmy w kierunku wzmocnienia jej w sytuacji zaistnienia zagrożeń oddziałujących negatywnie na jej funkcjonowanie.",WARMIŃSKO-MAZURSKIE,Szczytno,Odrodzenia,3,12-100,540000
ANNA KULMACZEWSKA,"Dywersyfikacja działalności firmy zarejestrowanej pod nazwą Anna Kulmaczewska w kierunku działalności związanej z organizacją targów, wystaw i kongresów. Przedsięwzięcie zlokalizowane w regionie 2, województwo podlaskie.",PODLASKIE,Białystok,Świętego Rocha,8A,15-879,188150.04
KREATYWNA GRUPA GASTRONOMICZNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ - CHMIELNA SPÓŁKA KOMANDYTOWA,Zwiększenie odporności przedsiębiorstwa KREATYWNA GRUPA GASTRONOMICZNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ - CHMIELNA SPÓŁKA KOMANDYTOWA na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 2: województwo mazowieckie,MAZOWIECKIE,Warszawa,Chmielna,26,00-200,197163.5
BUSINESS HARVARD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wzmocnienie odporności oraz potencjału rozwojowego Firmy Business Harvard poprzez dywersyfikację działalności w obszarze utworzenia wypożyczali jachtów żaglowych na terenie województwa mazowieckiego,MAZOWIECKIE,Wola Karczewska,Choiny,46i,05-408,540000
BARTOSZ BURZYŃSKI BURZA TRENER PERSONALNY,Dywersyfikacja działalności firmy BARTOSZ BURZYŃSKI BURZA TRENER PERSONALNY realizowana w regionie warmińsko-mazurskim,WARMIŃSKO-MAZURSKIE,Olsztyn,Franciszka Barcza,54,10-611,386012.25
EVENT MEDIA GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności firmy EVENT MEDIA GROUP Sp. z o.o. realizowana w regionie mazowieckim,MAZOWIECKIE,Warszawa,Grzybowska,87,00-844,419940.01
PRZEGRYŹ-D. KRZEMIŃSKA SPÓŁKA JAWNA,"Rozszerzenie działalności firmy ""PRZEGRYŹ-D. KRZEMIŃSKA: SPÓŁKA JAWNA działającej w sektorze gastronomia (HoReCa) w regionie mazowieckim poprzez inwestycje w bazę usługową i produkcyjną, podnoszenie kwalifikacji pracowników oraz usługi doradcze na rzecz rozwoju MŚP.",MAZOWIECKIE,Warszawa,Mokotowska,52,00-543,78744.48
Konrad Białek FUNNY DAYS KONRAD BIAŁEK,Dywersyfikacja i rozszerzenie działalności firmy Funny Days o nowe usługi w ofercie,MAZOWIECKIE,Warszawa,Storczykowa,46A,04-431,178218.71
Agnieszka Matuszyk AGMA-SPORT,"Dywersyfikacja działalności firmy AGMA-SPORT poprzez wynajem żaglówek, w woj. mazowieckim",MAZOWIECKIE,Antoniówka,,259,26-630,473605
HAXEL EVENTS & INCENTIVE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności Haxel Events & Incentive Sp. z o. o. w województwie mazowieckim poprzez wprowadzenie do oferty nowych usług - podróży przygodowych dla klientów indywidualnych pn. “Przygoda.pl” oraz wynajmu łodzi żaglowej.,MAZOWIECKIE,Warszawa,Lucerny,69,04-687,518640.3
BE SMILE TRAVEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności Spółki Be Smile Travel działającej w regionie warmińsko-mazurskim szansą na wzrost konkurencyjności oraz zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe.,WARMIŃSKO-MAZURSKIE,Ryn,,5,11-520,539883.84
WMM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności poprzez wprowadzenie oferty usług agroturystycznych i wynajmu rowerów w regionie 2. Województwo mazowieckie,MAZOWIECKIE,Warszawa,Prymasa Augusta Hlonda,2C,02-972,262032.74
Znajomi Andrzej Kruszewski," Olga Noga spółka cywilna,Dywersyfikacja działalności jako zwiększenie konkurencyjności firmy Znajomi Andrzej Kruszewski, Olga Noga Spółka Cywilna w branży HoReCa w województwie mazowieckim.",MAZOWIECKIE,Warszawa,Wilcza,58A,00-679,529641.9
Przedsiębiorstwo Handlowo Usługowe Paweł Tołkacz,Realizacja działań mających na celu poprawę odporności firmy z woj. warmińsko-mazurskiego (REGION 2) na kryzysy.,WARMIŃSKO-MAZURSKIE,Ruszajny,,11 A,11-010,141935.5
NIMBUS GROUP KACPER MATUSZYK,Dywersyfikacja działalności firmy Nimbus Group Kacper Matuszyk dzięki wprowadzeniu nowej usługi- wynajmu żaglówek w woj. mazowieckim.,MAZOWIECKIE,Warszawa,Boguszewska,23,01-250,503160
"SKLEP PRZEMYSŁOWY ""SE-TAK"" Jadwiga Serafin",Rozszerzenie działalności firmy „SE-TAK” w woj. Podlaskim,PODLASKIE,Łomża,Farna,9,18-400,388440
ODEON DYBIEC," ADAMIAK SPÓŁKA JAWNA,Rozszerzenie i dywersyfikacja działalności ODEON DYBIEC, ADAMIAK SPÓŁKA JAWNA na obszarze województwa mazowieckiego poprzez wdrożenie nowych usług z obszaru projekcji filmów/nagrań wideo na świeżym powietrzu (kino letnie/plenerowe)",MAZOWIECKIE,Szeligi,,13A,96-513,534173.44
WIT JAC S.C.,Rozszerzenie oferty,MAZOWIECKIE,Warszawa,11 Listopada,22,03-448,497070
Professional Company Konrad Kacperczyk,Dywersyfikacja prowadzonej działalności gospodarczej Professional Company Konrad Kacperczyk poprzez rozszerzenie usług gastronomicznych w województwie mazowieckim.,MAZOWIECKIE,Warszawa,Karpacka,8e,04-541,406562.76
Ministerstwo Śledzia i Wódki MONIKA WERNO-ZYSKOWSKA,"Rozszerzenie działalności pubu z bilardem poprzez rozwój oferty gastronomicznej o śniadania, pizzę i dania cateringowe w mieście Ełk – region 2",WARMIŃSKO-MAZURSKIE,Ełk,Kazimierza Pułaskiego,24,19-300,281698.51
STYX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności restauracji Lolek Grill & Bar poprzez uruchomienie cateringu zewnętrznego w województwie mazowieckim,MAZOWIECKIE,Warszawa,Giordana Bruna,9,02-594,345063.7
"P.U.H. ""GÓRNIAK"" RYSZARD GÓRNIAK","Rozszerzenie działalności firmy P.U.H. ""GÓRNIAK"" RYSZARD GÓRNIAK dzięki programowi wsparcia HoReCa dla MŚP z regionu mazowieckiego.",MAZOWIECKIE,Łódź,Wodospadowa,30,92-018,357609.05
RANKOR Marcin Dziewulak,"Dywersyfikacja działalności ""Karczmy w Pęcicach"" w ramach programu PARP A1.2.1 dla województwa mazowieckiego.",MAZOWIECKIE,Warszawa,Podchorążych,41,00-722,244509.46
"ALICJA ZATORSKA FIRMA GASTRONOMICZNO-USŁUGOWA ""FOLWARK BANCER""","Dywersyfikacja działalności MŚP poprzez wprowadzenie usług cateringowych oraz modernizację infrastruktury technologicznej i energetycznej w Firmie Gastronomiczno-Usługowej FOLWARK BANCER"" w Modrzejowicach w regionie mazowieckim""",MAZOWIECKIE,Modrzejowice,,21,26-640,420000
4EVENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Zakup sprzętu multimedialnego (panele led, flight casy, sterowniki, skalery video i akcesoria), co pozwoli na dywersyfikację dotychczasowej działalności 4events sp. z o.o. i ugruntowanie jej pozycji biznesowej na obszarze Warszawy oraz województwa mazowieckiego. Usługi oferowane przez podmiot cechować będzie niższe zużycie energii, a sposób ich wykonania przyczyni się do redukcji ilości wytwarzanych odpadów.",MAZOWIECKIE,Warszawa,Sielankowa,5a,04-879,345315.01
AZIK WÓJTOWICZ I WSPÓLNICY," SPÓŁKA JAWNA,Rozszerzenie działalności poprzez wprowadzenie nowych produktów i usług do restauracji Karczma Bankrut działającej na Mazowszu",MAZOWIECKIE,Warszawa,Cybernetyki,7C,02-677,539848.8
P.H.U. WIMAR Marek Śliwiński,"Dywersyfikacja działalności i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty usług wynajmu środków transportu wodnego - region 2, woj. podlaskie",PODLASKIE,Barszcze,,30,16-320,418791.87
REWIR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zielony Catering w województwie mazowieckim - rozszerzenie działalności REWIR Sp. z o.o. poprzez wdrożenie nowej oferty związanej z dostawą żywności.,MAZOWIECKIE,Warszawa,Kazimierzowska,64A,02-543,419400
CENTRUM KONFERENCYJNO-REKREACYJNE U.TOMASZEWSKA,"I.WIERZBICKA SPÓŁKA CYWILNA,Uruchomienie nowych usług i modernizacja bazy usługowej z uwzględnieniem potrzeb grupy docelowej Centrum Konferencyjno-Rekreacyjnego w regionie mazowieckim",MAZOWIECKIE,Sierpc,Gabriela Narutowicza,64,09-200,503879.43
ZIOŁOWA DOLINA KOZŁOWSKA KRYSTYNA,"Dywersyfikacja działalności Ziołowa Dolina w Woj. Warmińsko-Mazurskim, Powiat Olsztyński, Gmina Jonkowo, Wilimowo 10A, 11-041 Olsztyn",WARMIŃSKO-MAZURSKIE,Wilimowo,,10A,11-041,459274.36
Paweł Kępczyński,"Inwestycja w dywersyfikację/rozszerzenie działalności firmy poprzez rozwój nowej usługi wraz z inwestycją w zieloną transformację, działania związane z wykorzystaniem technologii cyfrowych i szkolenie pracowników oraz usługi doradcze: województwo mazowieckie",MAZOWIECKIE,Marcelów,,2A,26-660,539622
GRUPA CITYDOPING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności spółki GRUPA CITYDOPING Sp. z o.o. w województwie mazowieckim poprzez rozszerzenie profilu działalności Spółki o nowe usługi,MAZOWIECKIE,Warszawa,Szpitalna,8A,00-031,531256.01
JARD DZIEMIAN I WSPÓLNICY SPÓŁKA JAWNA,"Rozszerzenie działalności przedsiębiorstwa ""JARD"" DZIEMIAN I WSPÓLNICY SPÓŁKA JAWNA w celu dywersyfikacji bieżącej oferty Hotelu Turkus prowadzonego w Białymstoku w województwie podlaskim.",PODLASKIE,Białystok,al. Aleja Jana Pawła II,54,15-703,270017.7
"Punkt Gastronomiczny ""As"" s.c.","Budowa budynku rekreacji indywidualnej w miejscowości Liski w gminie Stare Juchy (województwo warmińsko – mazurskie) w celu dywersyfikacji bieżącej oferty przedsiębiorstwa funkcjonującego pod nazwą Punkt Gastronomiczny ""As"" s.c. Łoniewska Magdalena Agata, Łoniewski Krzysztof.",WARMIŃSKO-MAZURSKIE,Ełk,Armii Krajowej,14,19-300,390286.77
Dariusz Bagiński,Rozwój i zwiększenie odporności przedsiębiorstwa Dariusz Bagiński na czynniki zewnętrzne - województwo warmińsko-mazurskie,WARMIŃSKO-MAZURSKIE,Warszawa,Postępu,10,02-676,540000
COFFEE BEAN RYSZARD NOWICKI," TOMASZ NOWICKI SPÓŁKA JAWNA,Dywersyfikacja działalności Coffee Bean w województwie mazowieckim, poprzez rozszerzenie usług gastronomicznych oraz inwestycje w bazę usługową celem zwiększenia konkurencyjności i odporności w branży HoReCa",MAZOWIECKIE,Warszawa,Nowy Świat,30,00-373,510459.23
HIGHLANDER LIGNOWSKI," KUCIŃSKI SPÓŁKA JAWNA,Rozwój i stabilizacja firmy Highlander poprzez rozszerzenie i dywersyfikację działalności",WARMIŃSKO-MAZURSKIE,Olsztyn,Stare Miasto,29/32,10-026,479939.96
AREON PRZYSTAŃ RESTAURACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Rozszerzenie działalności prowadzonej przez firmę AREON PRZYSTAŃ RESTAURACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA w regionie województwa Warmińsko-mazurskiego.,WARMIŃSKO-MAZURSKIE,Olsztyn,Żeglarska,4,10-160,238773.72
4G S.C. MAŁGORZATA GIL," KAROLINA GIL,Dywersyfikacja i uodpornienie na przyszłe kryzysy firmy 4G s.c. MAŁGORZATA GIL, KAROLINA GIL działającej w regionie warmińsko - mazurskim",WARMIŃSKO-MAZURSKIE,Warszawa,Zygmunta Krasińskiego,10,01-615,540000
Kachel Anna," ""NATALIA"",Dywersyfikacja przychodów przedsiębiorstwa poprzez uruchomienie nowej usługi polegającej na przygotowywaniu dań gotowych sprzedawanych w trwałych opakowaniach. Projekt realizowany w regionie obejmującym województwa: mazowieckie, podlaskie, warmińsko-mazurskie.",MAZOWIECKIE,Lemany,,20,07-214,129028.64
PIOTR BUTKIEWICZ,Dywersyfikacja i uodpornienie firmy Piotr Butkiewicz działającej w regionie warmińsko- mazurskim na przyszłe kryzysy,WARMIŃSKO-MAZURSKIE,Orneta,1 Maja,57,11-130,419940.01
STUDIO BALANS Justyna Stelina,"Inwestycja polegająca na wprowadzeniu usługi wynajmu rowerów w Regionie 2 obejmującym województwa mazowieckie, podlaskie i warmińsko mazurskie.",WARMIŃSKO-MAZURSKIE,Elbląg,Żyrardowska,53,82-300,102664.19
Mirosław Szydlik DEKADA CLUB,Zwiększenie konkurencyjności restauracji Dekada Club poprzez wdrożenie usługi cateringu region warmińsko-mazurski,WARMIŃSKO-MAZURSKIE,Dąbrowy,,336,12-114,443797.98
FRANCUSKI SMAK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja i uodpornienie na przyszłe kryzysy firmy Francuski Smak Sp. z o.o. działającej w regionie warmińsko - mazurskim,WARMIŃSKO-MAZURSKIE,Kazuń Polski,Jeziorna,80,05-152,527446.19
ILP FOODS POLSKA SP. Z O. O.,Stworzenie innowacyjnego centrum aktywności - Adventure Discovery Tours,MAZOWIECKIE,Warszawa,Pory,78,02-757,499953
JFM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wzmocnienie konkurencyjności oraz odporności na sytuacje kryzysowe przedsiębiorstwa JFM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ poprzez dywersyfikację działalności i wprowadzenie usług cateringowych w Olsztynie w województwie warmińsko-mazurskim,WARMIŃSKO-MAZURSKIE,Kunice,Nowowiejska,18,59-216,321495.49
PROGRES PIOTR MUSIAŁ,Dywersyfikacja działalności firmy Progres Piotr Musiał w celu przeciwdziałania negatywnym skutkom COVID-19 w regionie Warmii i Mazur,WARMIŃSKO-MAZURSKIE,Targowisko Dolne,,1A,14-200,529560
BIURO PODRÓŻY TURIO S.C. EWELINA RYTELEWSKA," MARCIN RYTELEWSKI,Dywersyfikacja działalności Biura podróży Turio s.c. Ewelina Rytelewska Marcin Rytelewski w regionie nr 2",PODLASKIE,Białystok,Sienkiewicza,49,15-002,74957.79
PENSJONACIK HANDEL TRANSPORT BUDOWNICTWO MIROSŁAW ANASIŃSKI,Dywersyfikacja i uodpornienie firmy PENSJONACIK HANDEL TRANSPORT BUDOWNICTWO MIROSŁAW ANASIŃSKI działającej w regionie warmińsko-mazurskim na przyszłe kryzysy,WARMIŃSKO-MAZURSKIE,Łajs,,6,10-687,377495.97
Firma Handlowo - Usługowa Marek Pecura,"Rozszerzenie działalności poprzez wdrożenie usługi wynajmu dwóch łodzi żaglowych dla klientów indywidualnych (KOD PKD: 77.21.Z Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego) w miejscowości Górkło, w gminie Mikołajki, w powiecie mrągowskim, województwie warmińsko-mazurskim (region nr 2)",WARMIŃSKO-MAZURSKIE,Ostrów Mazowiecka,Romana Rubinkowskiego,8,07-300,402599.68
PRZYSTAŃ RESTAURACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Rozszerzenie działalności prowadzonej przez firmę Przystań Restauracja Sp. Z o.o. Sp. k. w regionie województwa Warmińsko-mazurskiego.,WARMIŃSKO-MAZURSKIE,Olsztyn,Żeglarska,3,10-160,223752.44
PIZZERIA ,",LATINO"" Kaczmarczyk Paweł,Dywersyfikacja działalności Pizzeria Latino Kaczmarczyk Paweł w regionie nr 2",MAZOWIECKIE,Łyse,Ostrołęcka,1A,07-437,503856.36
ROBERT KORSZLA SIEĆ HOSTELI ROBERTO,Dywersyfikacja działalności przedsiębiorstwa ROBERT KORSZLA SIEĆ HOSTELI ROBERTO w zakresie organizacji event'ów dla producentów gier komputerowych na terenie województwa mazowieckiego poprzez zakup wyspecjalizowanych elementów oraz realizację usługi szkoleniowej i doradczej.,MAZOWIECKIE,Warszawa,Myśliborska,26,03-185,385456.9
"WALDEMAR DICKTI PENSJONAT ""CHRISTEL"""," BAR GASTRONOMICZNY, PRYWATNE MUZEUM ""Chata Mazurska"",Dywersyfikacja działalności Pensjonatu ""Christel"", Bar Gastonomiczny, Prywatne Muzeum ""Chata Mazurska"" i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty usług restauracyjnych dla klientów zewnętrznych.",WARMIŃSKO-MAZURSKIE,Sądry,,3,11-700,168740.87
"REGIONALNE CENTRUM REKREACJI ""KAKTUSIK"" WIESŁAW PROKOP",Dywersyfikacja działalności sposobem na zwiększenie odporności firmy Kaktusik z woj. podlaskiego na sytuacje kryzysowe,PODLASKIE,Augustów,29 Listopada,2,16-300,231462
LESZEK PRZEDSIĘBIORSTWO WIELOBRANŻOWE MIROSŁAWA ŁAPIŃSKA,"Stworzenie strefy zewnętrznego spa, rekreacji i kultury dostępnej jako rozszerzający element istniejących już usług noclegowych w miejscowości Miodusy Wielkie w województwie Podlaskim oraz wprowadzenie nowej usługi gastronomicznej polegającej na stworzeniu zewnętrznej strefy konsumpcyjnej z serwisem dań grillowych na świeżym powietrzu w miejscowości Stare Kupiski w województwie podlaskim.",PODLASKIE,Stare Kupiski,Janowska,1,18-400,445841.69
Bar gastronomiczny Wynajem i organizacja imprez okolicznościowych Andrzej Leszczyński,Dywersyfikacja działalności Bar Gastronomiczny Wynajem i Organizacja Imprez Okolicznościowych Andrzej Leszczyński w regionie nr 2,PODLASKIE,Zambrów,Fabryczna,10,18-300,352686.81
Przedsiębiorstwo Handlowo Usługowe Robert Król,"Dywersyfikacja działalności poprzez wdrożenie usługi wynajmu dwóch łodzi żaglowych dla klientów indywidualnych (KOD PKD: 77.21.Z Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego) w miejscowości Górkło, w gminie Mikołajki, w powiecie mrągowskim, województwie warmińsko-mazurskim (region nr 2)",WARMIŃSKO-MAZURSKIE,Łochów,Fabryczna,14,07-130,390150.12
WWB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Przedsięwzięcie ma na celu rozszerzenie działalności firmy o usługę z zakresu najmu obiektów noclegowych turystycznych i miejsc krótkotrwałego zakwaterowania (PKD 55.20.Z).,MAZOWIECKIE,Warszawa,Mazowiecka,11,00-052,412800
P. TUR ARTUR ROZWADOWSKI,Dywersyfikacja działalności firmy P. TUR ARTUR ROZWADOWSKI poprzez wprowadzenie nowej usługi na rynek w województwie mazowieckim,MAZOWIECKIE,Warszawa,Mazowiecka,121A,05-825,538524
NIESPODZIANKA Danuta Wasążnik,"Zwiększenie konkurencyjności firmy ""NIESPODZIANKA"" Danuta Wasążnik poprzez wprowadzenie nowej usługi cateringu zewnętrznego, w tym żywienia dla szkół. Region mazowiecki.",MAZOWIECKIE,Głuchów,Miła,1,05-600,473968.4
GRACJA MAGDALENA GIMIK ADRIAN GIMIK SPÓŁKA CYWILNA,Rozwój biznesowy i dywersyfikacja działalności firmy Gracja Magdalena Gimik i Adrian Gimik s.c. w województwie podlaskim,PODLASKIE,Białystok,Towarowa,5b,15-007,261675.17
"PRZEDSIĘBIORSTWO TURYSTYCZNE ""AQUA FUN"" ANDRZEJ KOZŁOWSKI",Rozszerzenie zakresu działalności i wprowadzenie nowych usług łącznie z wdrożeniem rozwiązań w zakresie pozyskiwania energii ze źródeł odnawialnych,PODLASKIE,Augustów,Turystyczna,19A,16-300,418625.5
Paweł Orzechowski,Dywersyfikacja działalności Paweł Orzechowski obejmująca poszerzenie bazy usługowej oraz zwiększenie grupy potencjalnych odbiorców na terenie województwa mazowieckiego,MAZOWIECKIE,Warszawa,Chmielna,106b,00-801,412289.03
"PRZEDSIĘBIORSTWO GASTRONOMICZNO - HANDLOWE ""ALINEX"" Alicja Sawczuk",Zwiększenie odporności przedsiębiorstwa ALINEX na sytuacje kryzysowe poprzez zmianę sposobu produkcji i oferty firmy,PODLASKIE,Białystok,gen. George'a Smitha Pattona,2,15-691,400331.6
Filip Głodek - Personal Chef,"Inwestycja na terenie województwa mazowieckiego w zwiększenie odporności przedsiębiorstwa oraz rozszerzenie i dywersyfikację działalności gospodarczej o nowe usługi w Filip Głodek – Personal Chef poprzez inwestycję w mobilne mikro-hotele Nomady wraz z wyposażeniem oraz stworzenie mobilnej kawiarni Hungry Stuff, celem przyciągnięcia nowych klientów.",MAZOWIECKIE,Warszawa,Fundamentowa,49/51,04-057,494202.52
"PPHU ""SOSENKA"" MAŁGORZATA BORKOWSKA","Nowe usługi: warsztaty kulinarne jako dywersyfikacja działalności PPHU ""SOSENKA"" MAŁGORZATA BORKOWSKA w gminie Raczki w województwie podlaskim.",PODLASKIE,Kurianki Pierwsze,,37,16-420,221371.63
CZAS NA RELAKS ANNA KUTNIK,Rozszerzenie działalności prowadzonej przez firmę CZAS NA RELAKS ANNA KUTNIK w regionie województwa warmińsko- mazurskiego.,WARMIŃSKO-MAZURSKIE,Stawiguda,,1,11-034,92919.07
ONESPACE EVENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wellbeing 2.0 w Warszawie - Innowacyjne retreaty z technologią biofeedbacku. Programy dla ciała i umysłu dla całej Polski.,MAZOWIECKIE,Warszawa,Chmielna,73,00-801,145441.7
ALIMENTO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie prowadzonej działalności Alimento Sp. z o.o., o działalność związaną z przygotowywaniem i dostarczaniem żywności dla odbiorców zewnętrznych (katering), co pozwoli na wprowadzenie na rynek nowej usługi, w Regionie 2 tj. województwie mazowieckim, podlaskim, warmińsko-mazurskim.",MAZOWIECKIE,Warszawa,Krucza,6,00-950,539682.34
GOOD FOOD CONCEPT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Zwiększenie odporności i konkurencyjności przedsiębiorstwa Good Food Concept Sp. z o.o. Sp. k. poprzez dywersyfikację działalności i wprowadzenie nowych usług - region mazowiecki,MAZOWIECKIE,Warszawa,Żelazna,68,00-866,212489
LEON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie działalności Restauracji ""U Fukiera"" poprzez wprowadzenie usług cateringowych w Regionie 2, tj. województwie mazowieckim, podlaskim, warmińsko-mazurskim.",MAZOWIECKIE,Warszawa,rynek Rynek Starego Miasta,27,00-272,477900
